flo2d_150_v2_station_id,ob_1_id,ob_1_dist,ob_2_id,ob_2_dist,ob_3_id,ob_3_dist
21243,100032,12.259868908422998,100044,14.349201666005506,100002,14.513612787337713
21244,100032,12.354121423202935,100044,14.448432592044515,100002,14.615586787005288
21245,100032,12.44879203358925,100044,14.54781919067496,100002,14.717648982272348
21246,100032,12.545257802709152,100044,14.64881561237182,100002,14.821293880290417
21247,100032,12.642796430707985,100044,14.750670916999894,100002,14.9257512711381
21248,100032,12.74065460922088,100044,14.85260928676787,100002,15.030227434805782
21249,100032,12.840258092260791,100044,14.956123696542393,100002,15.136253671173936
21250,100032,12.940118846609822,100044,15.059675152925314,100002,15.242254771509764
21251,100032,13.041693276142816,100044,15.164781199771074,100002,15.349785298142502
21252,100032,13.144222657912035,100044,15.27066141198585,100002,15.458047254001237
21253,100032,13.246920717296272,100044,15.376512964213767,100002,15.566221491012326
21254,100032,13.351287353743764,100044,15.483888458826515,100002,15.675895746034913
21255,100032,13.45654404168932,100044,15.591991235083716,100002,15.786256725073745
21256,100032,13.561886597084754,100044,15.700003597297856,100002,15.896471284660876
21257,100032,13.668855525076061,100044,15.809511110500779,100002,16.008158325442377
21258,100032,13.776653899557589,100044,15.919701887205541,100003,16.064914548971093
21259,100032,13.884460901508481,100044,16.029744282079754,100003,16.105690546327825
21260,100032,13.993854922025257,100044,16.141254848842973,100003,16.14807552767691
21261,100032,14.103209103659161,100003,16.191436046329965,100044,16.252580448717257
21262,100032,14.214125644298704,100003,16.236404039838288,100044,16.365357231617654
21263,100032,14.325779792717812,100003,16.282652395324057,100044,16.4787499952059
21264,100032,14.437325563404354,100003,16.329816232068037,100044,16.59190573277397
21265,100032,14.55039889494631,100003,16.37858329310455,100044,16.706488549534047
21266,100032,14.664159867581903,100003,16.428597663172766,100044,16.821650379797845
21267,100032,14.777748769515135,100003,16.479466662323745,100044,16.9365264212522
21268,100032,14.892833009495176,100003,16.53193248214742,100044,17.052807064571553
21269,100032,15.00855853913938,100003,16.585611224762552,100044,17.16963215534193
21270,100032,15.124052856729541,100003,16.64008326763193,100044,17.28612580576732
